StudentID,Shape_Area(m^2),HtoD_Longest_Distance(m),ActivitySpace_Shape
RL003,965269.9597,2651.073536,Elongated
RL004,6786667.754,2665.500346,Protruding
RL005,553313.3955,2045.758828,Elongated
RL006,110008.7503,,Elongated
RL007,755398.6595,4005.18033,Elongated
RL008,212968.7729,890.354111,Elongated
RL009,755839.3304,3981.860515,Protruding
RL010,323512.1154,927.376001,Protruding
RL011,574093.7798,,Elongated
RL012,111981.4941,,Protruding
RL014,102100.5641,499.769722,Protruding
RL015,4093068.193,4352.929653,Protruding
RL016,82146.80678,,Compact
RL017,0,,
RL019,809033.6112,1716.649843,Elongated
RL020,4181844.105,6314.309703,Protruding
RL021,16523.92467,,Compact
RL022,50894.99958,,Elongated
RL023,22687.29337,,Compact
UB001,309781.8436,1353.930752,Elongated
UB002,170378.1504,1479.486947,Elongated
UB006,292278.3381,1227.30791,Protruding
UB007,63006.82985,85.496416,Elongated
UB008,1637765.083,1026.068078,Compact
UB009,1411362.581,2103.516679,Elongated
UB00X,1764971.51,1308.965019,Protruding
UB010,992073.1455,1654.01393,Elongated
UB011,2035966.661,1210.886193,Compact
UB012,442182.254,1134.944455,Elongated
UB014,2965736.932,1306.618919,Compact
UB015,130057.142,612.6116309,Compact
UB016,267781.3147,1831.252487,Elongated
UB017,167052.7472,,Elongated
UB018,235703.4277,1296.620284,Elongated
UB019,748947.0102,1228.155236,Compact
UB020,137644.7923,513.7055714,Elongated
UB021,960594.9705,790.8029454,Protruding
UB022,70350.22986,47.589862,Elongated
UB023,235898.0481,451.5256343,Compact
UB024,328050.765,479.4290232,Compact
UB025,468089.5859,738.7444064,Compact
UB026,3152106.937,1662.874403,Compact
UB027,379805.9148,1657.020734,Protruding
UB028,546877.9497,822.5714016,Compact
UB029,1203760.725,1222.396607,Elongated
